Hour,Series,Parallel,Total Capacity (kWh),Effective Load (kW),Length of Discharge (hours),Total Cost ($)
1,2,2,1.406,7,0.20085714285714285,210.89999999999998
2,2,2,1.406,8,0.17575,210.89999999999998
3,2,2,1.406,4,0.3515,210.89999999999998
4,2,2,1.406,2,0.703,210.89999999999998
5,2,2,1.406,1,1.406,210.89999999999998
6,2,2,1.406,0,0.0,210.89999999999998
7,2,2,1.406,0,0.0,210.89999999999998
8,2,2,1.406,0,0.0,210.89999999999998
9,2,2,1.406,0,0.0,210.89999999999998
10,2,2,1.406,0,0.0,210.89999999999998
11,2,2,1.406,0,0.0,210.89999999999998
12,2,2,1.406,0,0.0,210.89999999999998
13,2,2,1.406,0,0.0,210.89999999999998
14,2,2,1.406,0,0.0,210.89999999999998
15,2,2,1.406,0,0.0,210.89999999999998
16,2,2,1.406,2,0.703,210.89999999999998
17,2,2,1.406,4,0.3515,210.89999999999998
18,2,2,1.406,3,0.4686666666666666,210.89999999999998
19,2,2,1.406,3,0.4686666666666666,210.89999999999998
20,2,2,1.406,3,0.4686666666666666,210.89999999999998
21,2,2,1.406,1,1.406,210.89999999999998
22,2,2,1.406,3,0.4686666666666666,210.89999999999998
23,2,2,1.406,5,0.2812,210.89999999999998
24,2,2,1.406,7,0.20085714285714285,210.89999999999998
1,2,4,2.812,7,0.4017142857142857,421.79999999999995
2,2,4,2.812,8,0.3515,421.79999999999995
3,2,4,2.812,4,0.703,421.79999999999995
4,2,4,2.812,2,1.406,421.79999999999995
5,2,4,2.812,1,2.812,421.79999999999995
6,2,4,2.812,0,0.0,421.79999999999995
7,2,4,2.812,0,0.0,421.79999999999995
8,2,4,2.812,0,0.0,421.79999999999995
9,2,4,2.812,0,0.0,421.79999999999995
10,2,4,2.812,0,0.0,421.79999999999995
11,2,4,2.812,0,0.0,421.79999999999995
12,2,4,2.812,0,0.0,421.79999999999995
13,2,4,2.812,0,0.0,421.79999999999995
14,2,4,2.812,0,0.0,421.79999999999995
15,2,4,2.812,0,0.0,421.79999999999995
16,2,4,2.812,2,1.406,421.79999999999995
17,2,4,2.812,4,0.703,421.79999999999995
18,2,4,2.812,3,0.9373333333333332,421.79999999999995
19,2,4,2.812,3,0.9373333333333332,421.79999999999995
20,2,4,2.812,3,0.9373333333333332,421.79999999999995
21,2,4,2.812,1,2.812,421.79999999999995
22,2,4,2.812,3,0.9373333333333332,421.79999999999995
23,2,4,2.812,5,0.5624,421.79999999999995
24,2,4,2.812,7,0.4017142857142857,421.79999999999995
1,2,6,4.218,7,0.6025714285714285,632.7
2,2,6,4.218,8,0.52725,632.7
3,2,6,4.218,4,1.0545,632.7
4,2,6,4.218,2,2.109,632.7
5,2,6,4.218,1,4.218,632.7
6,2,6,4.218,0,0.0,632.7
7,2,6,4.218,0,0.0,632.7
8,2,6,4.218,0,0.0,632.7
9,2,6,4.218,0,0.0,632.7
10,2,6,4.218,0,0.0,632.7
11,2,6,4.218,0,0.0,632.7
12,2,6,4.218,0,0.0,632.7
13,2,6,4.218,0,0.0,632.7
14,2,6,4.218,0,0.0,632.7
15,2,6,4.218,0,0.0,632.7
16,2,6,4.218,2,2.109,632.7
17,2,6,4.218,4,1.0545,632.7
18,2,6,4.218,3,1.406,632.7
19,2,6,4.218,3,1.406,632.7
20,2,6,4.218,3,1.406,632.7
21,2,6,4.218,1,4.218,632.7
22,2,6,4.218,3,1.406,632.7
23,2,6,4.218,5,0.8436,632.7
24,2,6,4.218,7,0.6025714285714285,632.7
1,2,8,5.624,7,0.8034285714285714,843.5999999999999
2,2,8,5.624,8,0.703,843.5999999999999
3,2,8,5.624,4,1.406,843.5999999999999
4,2,8,5.624,2,2.812,843.5999999999999
5,2,8,5.624,1,5.624,843.5999999999999
6,2,8,5.624,0,0.0,843.5999999999999
7,2,8,5.624,0,0.0,843.5999999999999
8,2,8,5.624,0,0.0,843.5999999999999
9,2,8,5.624,0,0.0,843.5999999999999
10,2,8,5.624,0,0.0,843.5999999999999
11,2,8,5.624,0,0.0,843.5999999999999
12,2,8,5.624,0,0.0,843.5999999999999
13,2,8,5.624,0,0.0,843.5999999999999
14,2,8,5.624,0,0.0,843.5999999999999
15,2,8,5.624,0,0.0,843.5999999999999
16,2,8,5.624,2,2.812,843.5999999999999
17,2,8,5.624,4,1.406,843.5999999999999
18,2,8,5.624,3,1.8746666666666665,843.5999999999999
19,2,8,5.624,3,1.8746666666666665,843.5999999999999
20,2,8,5.624,3,1.8746666666666665,843.5999999999999
21,2,8,5.624,1,5.624,843.5999999999999
22,2,8,5.624,3,1.8746666666666665,843.5999999999999
23,2,8,5.624,5,1.1248,843.5999999999999
24,2,8,5.624,7,0.8034285714285714,843.5999999999999
1,2,10,7.03,7,1.0042857142857142,1054.5
2,2,10,7.03,8,0.87875,1054.5
3,2,10,7.03,4,1.7575,1054.5
4,2,10,7.03,2,3.515,1054.5
5,2,10,7.03,1,7.03,1054.5
6,2,10,7.03,0,0.0,1054.5
7,2,10,7.03,0,0.0,1054.5
8,2,10,7.03,0,0.0,1054.5
9,2,10,7.03,0,0.0,1054.5
10,2,10,7.03,0,0.0,1054.5
11,2,10,7.03,0,0.0,1054.5
12,2,10,7.03,0,0.0,1054.5
13,2,10,7.03,0,0.0,1054.5
14,2,10,7.03,0,0.0,1054.5
15,2,10,7.03,0,0.0,1054.5
16,2,10,7.03,2,3.515,1054.5
17,2,10,7.03,4,1.7575,1054.5
18,2,10,7.03,3,2.3433333333333333,1054.5
19,2,10,7.03,3,2.3433333333333333,1054.5
20,2,10,7.03,3,2.3433333333333333,1054.5
21,2,10,7.03,1,7.03,1054.5
22,2,10,7.03,3,2.3433333333333333,1054.5
23,2,10,7.03,5,1.4060000000000001,1054.5
24,2,10,7.03,7,1.0042857142857142,1054.5
1,4,2,2.812,7,0.4017142857142857,421.79999999999995
2,4,2,2.812,8,0.3515,421.79999999999995
3,4,2,2.812,4,0.703,421.79999999999995
4,4,2,2.812,2,1.406,421.79999999999995
5,4,2,2.812,1,2.812,421.79999999999995
6,4,2,2.812,0,0.0,421.79999999999995
7,4,2,2.812,0,0.0,421.79999999999995
8,4,2,2.812,0,0.0,421.79999999999995
9,4,2,2.812,0,0.0,421.79999999999995
10,4,2,2.812,0,0.0,421.79999999999995
11,4,2,2.812,0,0.0,421.79999999999995
12,4,2,2.812,0,0.0,421.79999999999995
13,4,2,2.812,0,0.0,421.79999999999995
14,4,2,2.812,0,0.0,421.79999999999995
15,4,2,2.812,0,0.0,421.79999999999995
16,4,2,2.812,2,1.406,421.79999999999995
17,4,2,2.812,4,0.703,421.79999999999995
18,4,2,2.812,3,0.9373333333333332,421.79999999999995
19,4,2,2.812,3,0.9373333333333332,421.79999999999995
20,4,2,2.812,3,0.9373333333333332,421.79999999999995
21,4,2,2.812,1,2.812,421.79999999999995
22,4,2,2.812,3,0.9373333333333332,421.79999999999995
23,4,2,2.812,5,0.5624,421.79999999999995
24,4,2,2.812,7,0.4017142857142857,421.79999999999995
1,4,4,5.624,7,0.8034285714285714,843.5999999999999
2,4,4,5.624,8,0.703,843.5999999999999
3,4,4,5.624,4,1.406,843.5999999999999
4,4,4,5.624,2,2.812,843.5999999999999
5,4,4,5.624,1,5.624,843.5999999999999
6,4,4,5.624,0,0.0,843.5999999999999
7,4,4,5.624,0,0.0,843.5999999999999
8,4,4,5.624,0,0.0,843.5999999999999
9,4,4,5.624,0,0.0,843.5999999999999
10,4,4,5.624,0,0.0,843.5999999999999
11,4,4,5.624,0,0.0,843.5999999999999
12,4,4,5.624,0,0.0,843.5999999999999
13,4,4,5.624,0,0.0,843.5999999999999
14,4,4,5.624,0,0.0,843.5999999999999
15,4,4,5.624,0,0.0,843.5999999999999
16,4,4,5.624,2,2.812,843.5999999999999
17,4,4,5.624,4,1.406,843.5999999999999
18,4,4,5.624,3,1.8746666666666665,843.5999999999999
19,4,4,5.624,3,1.8746666666666665,843.5999999999999
20,4,4,5.624,3,1.8746666666666665,843.5999999999999
21,4,4,5.624,1,5.624,843.5999999999999
22,4,4,5.624,3,1.8746666666666665,843.5999999999999
23,4,4,5.624,5,1.1248,843.5999999999999
24,4,4,5.624,7,0.8034285714285714,843.5999999999999
1,4,6,8.436,7,1.205142857142857,1265.4
2,4,6,8.436,8,1.0545,1265.4
3,4,6,8.436,4,2.109,1265.4
4,4,6,8.436,2,4.218,1265.4
5,4,6,8.436,1,8.436,1265.4
6,4,6,8.436,0,0.0,1265.4
7,4,6,8.436,0,0.0,1265.4
8,4,6,8.436,0,0.0,1265.4
9,4,6,8.436,0,0.0,1265.4
10,4,6,8.436,0,0.0,1265.4
11,4,6,8.436,0,0.0,1265.4
12,4,6,8.436,0,0.0,1265.4
13,4,6,8.436,0,0.0,1265.4
14,4,6,8.436,0,0.0,1265.4
15,4,6,8.436,0,0.0,1265.4
16,4,6,8.436,2,4.218,1265.4
17,4,6,8.436,4,2.109,1265.4
18,4,6,8.436,3,2.812,1265.4
19,4,6,8.436,3,2.812,1265.4
20,4,6,8.436,3,2.812,1265.4
21,4,6,8.436,1,8.436,1265.4
22,4,6,8.436,3,2.812,1265.4
23,4,6,8.436,5,1.6872,1265.4
24,4,6,8.436,7,1.205142857142857,1265.4
1,4,8,11.248,7,1.6068571428571428,1687.1999999999998
2,4,8,11.248,8,1.406,1687.1999999999998
3,4,8,11.248,4,2.812,1687.1999999999998
4,4,8,11.248,2,5.624,1687.1999999999998
5,4,8,11.248,1,11.248,1687.1999999999998
6,4,8,11.248,0,0.0,1687.1999999999998
7,4,8,11.248,0,0.0,1687.1999999999998
8,4,8,11.248,0,0.0,1687.1999999999998
9,4,8,11.248,0,0.0,1687.1999999999998
10,4,8,11.248,0,0.0,1687.1999999999998
11,4,8,11.248,0,0.0,1687.1999999999998
12,4,8,11.248,0,0.0,1687.1999999999998
13,4,8,11.248,0,0.0,1687.1999999999998
14,4,8,11.248,0,0.0,1687.1999999999998
15,4,8,11.248,0,0.0,1687.1999999999998
16,4,8,11.248,2,5.624,1687.1999999999998
17,4,8,11.248,4,2.812,1687.1999999999998
18,4,8,11.248,3,3.749333333333333,1687.1999999999998
19,4,8,11.248,3,3.749333333333333,1687.1999999999998
20,4,8,11.248,3,3.749333333333333,1687.1999999999998
21,4,8,11.248,1,11.248,1687.1999999999998
22,4,8,11.248,3,3.749333333333333,1687.1999999999998
23,4,8,11.248,5,2.2496,1687.1999999999998
24,4,8,11.248,7,1.6068571428571428,1687.1999999999998
1,4,10,14.06,7,2.0085714285714285,2109.0
2,4,10,14.06,8,1.7575,2109.0
3,4,10,14.06,4,3.515,2109.0
4,4,10,14.06,2,7.03,2109.0
5,4,10,14.06,1,14.06,2109.0
6,4,10,14.06,0,0.0,2109.0
7,4,10,14.06,0,0.0,2109.0
8,4,10,14.06,0,0.0,2109.0
9,4,10,14.06,0,0.0,2109.0
10,4,10,14.06,0,0.0,2109.0
11,4,10,14.06,0,0.0,2109.0
12,4,10,14.06,0,0.0,2109.0
13,4,10,14.06,0,0.0,2109.0
14,4,10,14.06,0,0.0,2109.0
15,4,10,14.06,0,0.0,2109.0
16,4,10,14.06,2,7.03,2109.0
17,4,10,14.06,4,3.515,2109.0
18,4,10,14.06,3,4.6866666666666665,2109.0
19,4,10,14.06,3,4.6866666666666665,2109.0
20,4,10,14.06,3,4.6866666666666665,2109.0
21,4,10,14.06,1,14.06,2109.0
22,4,10,14.06,3,4.6866666666666665,2109.0
23,4,10,14.06,5,2.8120000000000003,2109.0
24,4,10,14.06,7,2.0085714285714285,2109.0
1,6,2,4.218000000000001,7,0.6025714285714286,632.7000000000002
2,6,2,4.218000000000001,8,0.5272500000000001,632.7000000000002
3,6,2,4.218000000000001,4,1.0545000000000002,632.7000000000002
4,6,2,4.218000000000001,2,2.1090000000000004,632.7000000000002
5,6,2,4.218000000000001,1,4.218000000000001,632.7000000000002
6,6,2,4.218000000000001,0,0.0,632.7000000000002
7,6,2,4.218000000000001,0,0.0,632.7000000000002
8,6,2,4.218000000000001,0,0.0,632.7000000000002
9,6,2,4.218000000000001,0,0.0,632.7000000000002
10,6,2,4.218000000000001,0,0.0,632.7000000000002
11,6,2,4.218000000000001,0,0.0,632.7000000000002
12,6,2,4.218000000000001,0,0.0,632.7000000000002
13,6,2,4.218000000000001,0,0.0,632.7000000000002
14,6,2,4.218000000000001,0,0.0,632.7000000000002
15,6,2,4.218000000000001,0,0.0,632.7000000000002
16,6,2,4.218000000000001,2,2.1090000000000004,632.7000000000002
17,6,2,4.218000000000001,4,1.0545000000000002,632.7000000000002
18,6,2,4.218000000000001,3,1.4060000000000004,632.7000000000002
19,6,2,4.218000000000001,3,1.4060000000000004,632.7000000000002
20,6,2,4.218000000000001,3,1.4060000000000004,632.7000000000002
21,6,2,4.218000000000001,1,4.218000000000001,632.7000000000002
22,6,2,4.218000000000001,3,1.4060000000000004,632.7000000000002
23,6,2,4.218000000000001,5,0.8436000000000001,632.7000000000002
24,6,2,4.218000000000001,7,0.6025714285714286,632.7000000000002
1,6,4,8.436000000000002,7,1.2051428571428573,1265.4000000000003
2,6,4,8.436000000000002,8,1.0545000000000002,1265.4000000000003
3,6,4,8.436000000000002,4,2.1090000000000004,1265.4000000000003
4,6,4,8.436000000000002,2,4.218000000000001,1265.4000000000003
5,6,4,8.436000000000002,1,8.436000000000002,1265.4000000000003
6,6,4,8.436000000000002,0,0.0,1265.4000000000003
7,6,4,8.436000000000002,0,0.0,1265.4000000000003
8,6,4,8.436000000000002,0,0.0,1265.4000000000003
9,6,4,8.436000000000002,0,0.0,1265.4000000000003
10,6,4,8.436000000000002,0,0.0,1265.4000000000003
11,6,4,8.436000000000002,0,0.0,1265.4000000000003
12,6,4,8.436000000000002,0,0.0,1265.4000000000003
13,6,4,8.436000000000002,0,0.0,1265.4000000000003
14,6,4,8.436000000000002,0,0.0,1265.4000000000003
15,6,4,8.436000000000002,0,0.0,1265.4000000000003
16,6,4,8.436000000000002,2,4.218000000000001,1265.4000000000003
17,6,4,8.436000000000002,4,2.1090000000000004,1265.4000000000003
18,6,4,8.436000000000002,3,2.8120000000000007,1265.4000000000003
19,6,4,8.436000000000002,3,2.8120000000000007,1265.4000000000003
20,6,4,8.436000000000002,3,2.8120000000000007,1265.4000000000003
21,6,4,8.436000000000002,1,8.436000000000002,1265.4000000000003
22,6,4,8.436000000000002,3,2.8120000000000007,1265.4000000000003
23,6,4,8.436000000000002,5,1.6872000000000003,1265.4000000000003
24,6,4,8.436000000000002,7,1.2051428571428573,1265.4000000000003
1,6,6,12.654000000000002,7,1.807714285714286,1898.1000000000004
2,6,6,12.654000000000002,8,1.5817500000000002,1898.1000000000004
3,6,6,12.654000000000002,4,3.1635000000000004,1898.1000000000004
4,6,6,12.654000000000002,2,6.327000000000001,1898.1000000000004
5,6,6,12.654000000000002,1,12.654000000000002,1898.1000000000004
6,6,6,12.654000000000002,0,0.0,1898.1000000000004
